,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,sugar,pistachio nuts,white almond bark,flour,vanilla extract,olive oil,almond extract,eggs,baking powder,dried cranberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chopped tomatoes,fresh basil,garlic,extra-virgin olive oil,kosher salt,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pimentos,sweet pepper,dried oregano,olive oil,garlic,sharp cheddar cheese,pepper,swiss cheese,provolone cheese,canola oil,mushrooms,black olives,sausages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Italian parsley leaves,walnuts,hot red pepper flakes,extra-virgin olive oil,fresh lemon juice,trout fillet,garlic cloves,chipotle chile,fine sea salt,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,fresh parmesan cheese,butter,all-purpose flour,fat free less sodium chicken broth,chopped fresh chives,gruyere cheese,ground black pepper,bacon slices,gnocchi,fat free milk,cooking spray,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,italian seasoning,broiler-fryer chicken,mayonaise,zesty italian dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,marinara sauce,flat leaf parsley,olive oil,linguine,capers,crushed red pepper flakes,olives,lemon zest,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ground black pepper,butter,sliced mushrooms,sherry,salt,grated parmesan cheese,heavy cream,spaghetti,chicken broth,cooked chicken,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,yellow corn meal,boiling water,butter,fresh parmesan cheese,sea salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,olive oil,onions,crushed garlic,dried oregano,green onions,white sugar,dried basil,diced tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,olive oil,bread slices,great northern beans,garlic cloves,pepper,shrimp,sage leaves,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Oscar Mayer Deli Fresh Smoked Ham,hoagie rolls,salami,giardiniera,mozzarella cheese,pepperoni,butter,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,fresh basil,bay leaves,crushed red pepper,mussels,olive oil,basil,garlic cloves,black pepper,dry white wine,salt,tomatoes,finely chopped onion,linguine,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,lemon,pesto,salmon fillets,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pizza crust,plum tomatoes,pesto,part-skim mozzarella cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,crushed tomatoes,garlic,fresh rosemary,ground black pepper,onions,olive oil,boneless pork loin,kosher salt,pappardelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,tomatoes,red pepper,olive oil,Italian bread,balsamic vinegar,onions,fresh basil,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,sausage casings,ground black pepper,garlic,honey,grated parmesan cheese,shredded mozzarella cheese,kosher salt,roasted red peppers,penne pasta,olive oil,crushed red pepper flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,spinach,asiago,whole wheat pasta,olive oil,sweet onion,garlic,grape tomatoes,mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,chestnuts,granulated sugar,whole milk ricotta cheese,coffee ice cream,large eggs,mascarpone,rum,powdered sugar,semisweet chocolate,chestnut flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,salt,starchy potatoes,grated nutmeg,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,olive oil,olives,salt,blood orange,freshly ground pepper,fennel bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,balsamic vinegar,low salt chicken broth,dijon mustard,corn starch,dried basil,garlic cloves,white wine vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,tomato sauce,shredded carrots,spinach,part-skim mozzarella cheese,italian seasoning,"english muffins, split and toasted",chopped onion,vegetable oil cooking spray,chopped green bell pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,cheddar cheese,lasagna noodles,pepper,ranch dressing,mozzarella cheese,cooked chicken,evaporated milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,olive oil,freshly ground pepper,fresh rosemary,salt,fresh parsley,fresh basil,fresh oregano,crushed red pepper,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,cold water,sugar,butter,chocolate morsels,cream sweeten whip,instant espresso granules,whipping cream,boiling water,kahlúa,large eggs,chocolate covered coffee beans,unflavored gelatin,mascarpone,pound cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,pinenuts,zucchini,baby carrots,fresh basil leaves,olive oil,dry white wine,asparagus spears,white onion,grated parmesan cheese,carrots,frozen peas,arborio rice,yellow crookneck squash,butter,low salt chicken broth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,fresh leav spinach,cheese tortellini,fresh basil,cherry tomatoes,fresh lemon juice,capers,fresh parmesan cheese,navy beans,pepper,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,pecorino romano cheese,fresh fava bean,finely chopped onion,extra-virgin olive oil,plum tomatoes,italian sausage,large garlic cloves,pasta sheets,dry white wine,crushed red pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,shredded mozzarella cheese,marinara sauce,fresh basil leaves,penne pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
